;Days after planting;Reference Evapotranspiration;Crop Evapotranspiration;Rainfall;Soil Moisture;Irrigation FAO;Irrigation Fuzzy
;;mm/day;mm/day;mm/day;%/day;mm/day;mm/day
Date;dap;eto;etc;rf;sm;irr_fao;irr_fuzzy
29/04/2020;100;2,3;230,0;0;32,4;2,6;2,3
30/04/2020;101;2,3;232,3;0;32,9;2,4;2,3
01/05/2020;102;2,2;224,4;0;32,4;2,4;2,3
02/05/2020;103;2,3;236,9;0;32,2;2,3;2,3
03/05/2020;104;2,1;218,4;0;33,6;2,4;2,3
04/05/2020;105;2,1;220,5;0;33,3;2,2;2,3
05/05/2020;106;2,1;222,6;0;34,5;2,2;2,7
06/05/2020;107;3,1;329,3;11,18;31,8;0;3
07/05/2020;108;3,5;382,8;2,29;32,0;0;3,4
08/05/2020;109;1,8;198,5;1,78;32,1;0;1,9
09/05/2020;110;2,1;232,8;0;30,0;0;2
10/05/2020;111;3,2;356,4;0;36,2;2,2;1,3
11/05/2020;112;3,1;344,8;0;32,2;3,4;1,4
12/05/2020;113;3,0;333,4;0;25,4;3,2;4,4
13/05/2020;114;3,7;421,8;0;25,6;3,1;1,6
14/05/2020;115;3,7;425,5;4,32;25,7;3,9;1,7
15/05/2020;116;3,4;394,4;2,29;25,0;0;1,7
16/05/2020;117;4,0;468,0;0;27,7;3,5;1,6
17/05/2020;118;3,8;447,3;0;27,2;4,2;1,6
18/05/2020;119;4,2;501,6;0,25;31,9;4,0;1,4
19/05/2020;120;4,2;502,0;0;30,6;3,8;1,4
20/05/2020;121;4,2;511,2;0;26,1;3,8;1,6
21/05/2020;122;3,8;468,3;0;25,6;3,8;5,6
22/05/2020;123;3,8;462,0;0;27,5;0,0;1,5
23/05/2020;124;3,2;399,1;0,25;32,1;3,4;1,4
24/05/2020;125;2,69;336,3;0;30,3;2,9;1,4
